Opened,Date,Product,Christmas,Chinese NY,Weeknum
23/06/2022 14:00:49,23/06/2022,SP4,NO,NO,26
20/09/2021 08:44:02,20/09/2021,SP4,NO,NO,39
08/11/2021 12:52:40,08/11/2021,SP4,NO,NO,46
11/11/2021 14:14:03,11/11/2021,SP4,NO,NO,46
18/11/2021 10:38:51,18/11/2021,SP4,NO,NO,47
01/12/2021 18:58:56,01/12/2021,SP4,NO,NO,49
09/12/2021 13:18:42,09/12/2021,SP4,NO,NO,50
04/01/2022 08:00:06,04/01/2022,SP4,YES,NO,2
27/01/2022 08:56:39,27/01/2022,SP4,NO,NO,5
27/01/2022 09:02:09,27/01/2022,SP4,NO,NO,5
11/02/2022 22:54:19,11/02/2022,SP4,NO,NO,7
09/03/2022 10:51:44,09/03/2022,SP4,NO,NO,11
17/03/2022 14:47:39,17/03/2022,SP4,NO,NO,12
06/04/2022 11:32:35,06/04/2022,SP4,NO,NO,15
06/04/2022 12:31:35,06/04/2022,SP4,NO,NO,15
07/04/2022 15:12:41,07/04/2022,SP4,NO,NO,15
19/04/2022 12:03:46,19/04/2022,SP4,NO,NO,17
06/05/2022 08:51:22,06/05/2022,SP4,NO,NO,19
11/05/2022 09:10:17,11/05/2022,SP4,NO,NO,20
20/05/2022 10:12:29,20/05/2022,SP4,NO,NO,21
13/06/2022 05:31:02,13/06/2022,SP4,NO,NO,25
17/03/2022 16:03:25,17/03/2022,SP4,NO,NO,12
19/11/2021 15:27:17,19/11/2021,SP4,NO,NO,47
12/04/2022 15:21:13,12/04/2022,SP4,NO,NO,16
12/04/2022 16:36:54,12/04/2022,SP4,NO,NO,16
